"","cited","citing"
"1","10.1096/fj.201801909r","10.3389/fcell.2021.662227"
"2","10.1096/fj.201801909r","10.3389/fcell.2021.739391"
"3","10.1096/fj.201801909r","10.1016/j.bcp.2020.114291"
"4","10.1096/fj.201801909r","10.1016/j.bcp.2020.114082"
"5","10.1096/fj.201801909r","10.1016/j.toxicon.2022.08.019"
"6","10.1096/fj.201801909r","10.3390/ijms23095115"
"7","10.1096/fj.201801909r","10.1021/acsptsci.1c00079"
"8","10.1096/fj.201801909r","10.1021/acs.jmedchem.0c00485"
"9","10.1096/fj.201801909r","10.1016/j.bioorg.2020.103746"
"10","10.1096/fj.201801909r","10.3389/fimmu.2020.02011"
"11","10.1096/fj.201801909r","10.1038/s41598-020-61034-x"
"12","10.1096/fj.201801909r","10.1021/acs.jnatprod.1c00104"
"13","10.1096/fj.201801909r","10.1111/febs.15593"
"14","10.1096/fj.201801909r","10.3390/md17090535"
"15","10.1096/fj.201801909r","10.1021/acs.jnatprod.0c00981"
"16","10.1096/fj.201801909r","10.1002/pep2.24203"
"17","10.1096/fj.201801909r","10.3389/fbioe.2023.1166601"
"18","10.1096/fj.201801909r","10.1016/j.ijbiomac.2019.08.108"
"19","10.1096/fj.201801909r","10.3390/toxins12040250"
"20","10.1096/fj.201801909r","10.3390/toxins14090600"
"21","10.1096/fj.201801909r","10.1590/1678-9199-jvatitd-2021-0026"
"22","10.1096/fj.201801909r","10.3390/toxins15030229"
"23","10.1002/ange.201901572","10.1002/anie.201913809"
"24","10.1002/ange.201901572","10.1002/ange.201913809"
"25","10.1021/acs.langmuir.7b03617","10.1002/ange.202309958"
"26","10.1021/acs.langmuir.7b03617","10.1021/acs.langmuir.8b00254"
"27","10.1021/acs.langmuir.7b03617","10.1016/j.cclet.2022.06.046"
"28","10.1021/acs.langmuir.7b03617","10.1021/acs.biochem.8b01013"
"29","10.1021/acs.langmuir.7b03617","10.3390/biom12111717"
"30","10.1021/acs.langmuir.7b03617","10.1021/acschemneuro.3c00302"
"31","10.1021/acs.langmuir.7b03617","10.1007/s10853-023-08654-6"
"32","10.1021/acs.langmuir.7b03617","10.1093/protein/gzz016"
"33","10.1021/acs.langmuir.7b03617","10.1039/d1cp00825k"
"34","10.1021/acs.langmuir.7b03617","10.1039/c9tb00162j"
"35","10.1021/acs.langmuir.7b03617","10.1021/acs.langmuir.2c00827"
"36","10.1021/acs.langmuir.7b03617","10.1016/j.bioorg.2020.103594"
"37","10.1021/acs.langmuir.7b03617","10.1016/j.abb.2021.109022"
"38","10.1021/acs.langmuir.7b03617","10.1016/j.abb.2018.11.014"
"39","10.1021/acs.langmuir.7b03617","10.1039/c8cs00115d"
