"cited","citing"
"10.1096/fj.201801909r","10.3389/fcell.2021.662227"
"10.1096/fj.201801909r","10.3389/fcell.2021.739391"
"10.1096/fj.201801909r","10.1016/j.bcp.2020.114291"
"10.1096/fj.201801909r","10.1016/j.bcp.2020.114082"
"10.1096/fj.201801909r","10.1016/j.toxicon.2022.08.019"
"10.1096/fj.201801909r","10.3390/ijms23095115"
"10.1096/fj.201801909r","10.1021/acsptsci.1c00079"
"10.1096/fj.201801909r","10.1021/acs.jmedchem.0c00485"
"10.1096/fj.201801909r","10.1016/j.bioorg.2020.103746"
"10.1096/fj.201801909r","10.3389/fimmu.2020.02011"
"10.1096/fj.201801909r","10.1038/s41598-020-61034-x"
"10.1096/fj.201801909r","10.1021/acs.jnatprod.1c00104"
"10.1096/fj.201801909r","10.1111/febs.15593"
"10.1096/fj.201801909r","10.3390/md17090535"
"10.1096/fj.201801909r","10.1021/acs.jnatprod.0c00981"
"10.1096/fj.201801909r","10.1002/pep2.24203"
"10.1096/fj.201801909r","10.3389/fbioe.2023.1166601"
"10.1096/fj.201801909r","10.1016/j.ijbiomac.2019.08.108"
"10.1096/fj.201801909r","10.3390/toxins12040250"
"10.1096/fj.201801909r","10.3390/toxins14090600"
"10.1096/fj.201801909r","10.1590/1678-9199-jvatitd-2021-0026"
"10.1096/fj.201801909r","10.3390/toxins15030229"
"10.1002/ange.201901572","10.1002/anie.201913809"
"10.1002/ange.201901572","10.1002/ange.201913809"
"10.1021/acs.langmuir.7b03617","10.1002/ange.202309958"
"10.1021/acs.langmuir.7b03617","10.1021/acs.langmuir.8b00254"
"10.1021/acs.langmuir.7b03617","10.1016/j.cclet.2022.06.046"
"10.1021/acs.langmuir.7b03617","10.1021/acs.biochem.8b01013"
"10.1021/acs.langmuir.7b03617","10.3390/biom12111717"
"10.1021/acs.langmuir.7b03617","10.1021/acschemneuro.3c00302"
"10.1021/acs.langmuir.7b03617","10.1007/s10853-023-08654-6"
"10.1021/acs.langmuir.7b03617","10.1093/protein/gzz016"
"10.1021/acs.langmuir.7b03617","10.1039/d1cp00825k"
"10.1021/acs.langmuir.7b03617","10.1039/c9tb00162j"
"10.1021/acs.langmuir.7b03617","10.1021/acs.langmuir.2c00827"
"10.1021/acs.langmuir.7b03617","10.1016/j.bioorg.2020.103594"
"10.1021/acs.langmuir.7b03617","10.1016/j.abb.2021.109022"
"10.1021/acs.langmuir.7b03617","10.1016/j.abb.2018.11.014"
"10.1021/acs.langmuir.7b03617","10.1039/c8cs00115d"
"10.1021/acs.langmuir.7b03617","10.1021/acschemneuro.0c00723"
"10.1021/acs.langmuir.7b03617","10.4155/fmc-2021-0184"
"10.1021/acs.langmuir.7b03617","10.1021/acs.langmuir.9b03612"
"10.1021/acs.langmuir.7b03617","10.1039/d2md00414c"
"10.1021/acs.langmuir.7b03617","10.1016/j.bmc.2020.115676"
"10.1021/acs.langmuir.7b03617","10.1177/02601060221137104"
"10.1021/acs.langmuir.7b03617","10.1016/j.bbadis.2021.166234"
"10.1021/acs.langmuir.7b03617","10.1021/acs.langmuir.8b01921"
"10.1021/acs.langmuir.7b03617","10.1016/j.bbagen.2022.130114"
"10.1021/acs.langmuir.7b03617","10.1021/acschembio.2c00893"
"10.1021/acs.langmuir.7b03617","10.1021/acs.jmedchem.2c01803"
"10.1021/acs.langmuir.7b03617","10.1016/j.cbpa.2021.05.011"
